                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.053,                 3.4853,                 4.2226,                0.00763,                0.10524,                0.00952,                0.00366,                 3.9956,                 3.6638,                 4.1568,                0.00038,                0.00038,                0.00038
                      2,                 3.7363,                 2.8339,                 3.9747,                0.00753,                0.10714,                0.00555,                0.00192,                 4.0004,                 3.8785,                  4.181,             0.00076456,             0.00076456,             0.00076456
                      3,                 3.1785,                 2.3387,                 3.4702,                0.00843,                0.09489,                 0.0069,                0.00236,                 4.0448,                 4.1836,                 4.3155,              0.0011333,              0.0011333,              0.0011333
                      4,                 2.8647,                 2.1002,                 3.0075,                0.00894,                 0.0858,                0.01103,                0.00489,                 4.0332,                 4.4569,                 4.3875,              0.0014861,              0.0014861,              0.0014861
                      5,                 2.7618,                 2.0347,                 2.8483,                0.01998,                0.22866,                0.04628,                0.01606,                 3.6438,                 3.9864,                 4.1904,              0.0018232,              0.0018232,              0.0018232
                      6,                 2.6116,                  1.913,                  2.637,                0.11259,                0.25423,                0.06154,                0.02388,                 2.7146,                  2.728,                 2.8918,               0.001802,               0.001802,               0.001802
                      7,                 2.5094,                 1.7911,                 2.4825,                0.39191,                0.35165,                0.31517,                0.12875,                 2.4304,                 2.0544,                 2.5008,               0.001802,               0.001802,               0.001802
                      8,                 2.3905,                 1.7006,                 2.3718,                0.46878,                0.38652,                0.38803,                0.14003,                 2.4258,                 1.9786,                 2.4925,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.2962,                 1.6176,                 2.2497,                 0.5722,                    0.5,                0.51388,                0.22798,                 2.1653,                 1.7032,                 2.2209,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.2412,                 1.5773,                 2.1759,                0.59188,                0.49873,                0.52568,                0.20957,                 2.1843,                 1.7126,                 2.1814,              0.0016832,              0.0016832,              0.0016832
                     11,                  2.142,                 1.5321,                 2.0773,                0.57938,                0.53529,                0.53992,                0.24325,                  2.084,                 1.8344,                 2.0812,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.1173,                 1.4769,                 2.0265,                0.56458,                 0.5615,                0.55111,                0.23764,                 2.0612,                 1.6544,                 2.0259,               0.001604,               0.001604,               0.001604
                     13,                 2.0589,                 1.4156,                 1.9635,                0.71807,                0.61522,                0.67196,                0.33905,                 1.8512,                 1.4319,                 1.8802,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.9901,                 1.3752,                  1.913,                0.69811,                0.59172,                0.66167,                0.34797,                 1.7948,                 1.3935,                 1.8397,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.9653,                 1.3281,                 1.8611,                0.63683,                0.60207,                0.62908,                0.30678,                 1.9392,                 1.5009,                   1.91,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.9101,                 1.3037,                 1.8072,                0.73676,                0.64983,                0.71425,                0.39453,                 1.7108,                 1.2633,                 1.7516,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.8459,                 1.2538,                 1.7635,                0.79502,                0.67117,                0.76325,                0.42751,                 1.6758,                 1.2209,                 1.7229,               0.001406,               0.001406,               0.001406
                     18,                 1.8263,                  1.216,                 1.7353,                0.78695,                0.66741,                0.76461,                0.41664,                 1.7013,                 1.1927,                 1.7081,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.8014,                 1.1784,                  1.701,                0.80609,                0.70193,                0.78075,                0.44032,                 1.6324,                 1.1756,                 1.6641,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7608,                 1.1643,                 1.6823,                0.80685,                0.71196,                0.79746,                0.43964,                 1.6627,                 1.1319,                 1.6507,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7417,                 1.1263,                 1.6399,                0.82129,                0.73817,                0.81111,                 0.4685,                 1.5623,                 1.0714,                 1.5911,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7491,                 1.1345,                 1.6384,                0.84337,                0.72371,                0.80529,                0.45622,                  1.587,                  1.094,                 1.6096,               0.001208,               0.001208,               0.001208
