                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9999,                 1.8011,                 1.0718,                0.76203,                0.47642,                0.60708,                0.45172,                0.92696,                  1.964,                0.95698,             0.00064706,             0.00064706,             0.00064706
                      1,                0.98038,                 1.0444,                 1.0286,                0.57262,                 0.5318,                0.50298,                0.34453,                 1.0783,                  1.779,                  1.068,              0.0012877,              0.0012877,              0.0012877
                      2,                 1.0067,                0.97671,                 1.0379,                0.79895,                0.65698,                0.77517,                0.54122,                  1.135,                  1.444,                 1.1383,               0.001902,               0.001902,               0.001902
                      3,                0.96824,                0.92034,                 1.0288,                 0.7792,                0.78862,                0.82696,                0.57908,                0.97931,                 1.0017,                 1.0173,              0.0018812,              0.0018812,              0.0018812
                      4,                0.96168,                0.86832,                 1.0305,                0.69926,                0.68898,                0.72348,                0.50234,                0.98464,                 1.1914,                 1.0419,              0.0018812,              0.0018812,              0.0018812
                      5,                0.94336,                0.82609,                 1.0117,                0.84024,                0.80732,                0.88435,                0.65507,                0.87764,                 0.8024,                0.95293,              0.0018416,              0.0018416,              0.0018416
                      6,                0.92334,                0.81565,                 1.0174,                 0.8396,                0.76701,                0.87731,                0.63445,                0.92656,                0.86958,                 1.0043,               0.001802,               0.001802,               0.001802
                      7,                0.94374,                  0.787,                 1.0137,                 0.8268,                0.82688,                0.89101,                0.65579,                0.87723,                0.85359,                0.96986,              0.0017624,              0.0017624,              0.0017624
                      8,                0.89439,                0.75755,                 1.0035,                0.81794,                0.81465,                0.88566,                0.65266,                0.87298,                0.79898,                0.97116,              0.0017228,              0.0017228,              0.0017228
                      9,                0.89768,                0.72436,                0.99113,                0.85156,                0.85047,                0.92235,                0.69982,                0.82531,                0.69178,                0.92744,              0.0016832,              0.0016832,              0.0016832
                     10,                0.88566,                0.69954,                0.98248,                0.86602,                0.86239,                0.93289,                0.70489,                0.80829,                0.71316,                0.92488,              0.0016436,              0.0016436,              0.0016436
                     11,                0.89722,                0.69279,                0.99063,                0.87744,                 0.8542,                0.93251,                0.70986,                0.80577,                0.65313,                0.92254,               0.001604,               0.001604,               0.001604
                     12,                0.85022,                0.67481,                 0.9799,                0.86918,                 0.8845,                 0.9398,                 0.7017,                0.77322,                0.61837,                0.90872,              0.0015644,              0.0015644,              0.0015644
                     13,                0.85745,                 0.6705,                0.98568,                0.87555,                0.82663,                0.91548,                0.69901,                0.78675,                0.67239,                0.91335,              0.0015248,              0.0015248,              0.0015248
                     14,                0.85926,                0.64507,                0.97895,                0.88436,                  0.885,                0.94374,                0.70973,                0.77329,                 0.5969,                0.90921,              0.0014852,              0.0014852,              0.0014852
                     15,                0.84581,                0.63493,                0.97939,                0.90302,                0.87879,                0.95361,                 0.7344,                0.75619,                0.56282,                0.90142,              0.0014456,              0.0014456,              0.0014456
                     16,                0.82692,                 0.6239,                0.96666,                0.88265,                 0.8893,                0.94054,                0.74244,                0.74215,                0.55154,                0.90069,               0.001406,               0.001406,               0.001406
                     17,                0.81346,                0.60888,                0.97106,                0.88043,                0.85594,                0.93602,                0.72805,                0.77272,                0.60141,                0.91434,              0.0013664,              0.0013664,              0.0013664
                     18,                0.81684,                0.60268,                0.96341,                0.89348,                0.88574,                0.94898,                0.75096,                0.72829,                0.54722,                0.89224,              0.0013268,              0.0013268,              0.0013268
                     19,                0.81866,                0.60655,                0.96818,                0.88681,                0.88425,                0.95108,                0.73973,                0.75826,                0.59071,                 0.9047,              0.0012872,              0.0012872,              0.0012872
                     20,                0.80114,                0.58524,                0.96047,                0.87798,                0.89071,                0.95101,                0.74191,                0.73286,                 0.5633,                0.89915,              0.0012476,              0.0012476,              0.0012476
